DATE,M-Y,USD,EUR
01.01.2021,янв '21,73.9,90.8
15.01.2021,янв '21,73.8,89.6
22.01.2021,янв '21,73.4,89.0
29.01.2021,янв '21,76.2,92.1
05.02.2021,фев '21,75.7,90.9
12.02.2021,фев '21,73.8,89.4
19.02.2021,фев '21,73.8,88.9
26.02.2021,фев '21,73.5,89.5
05.03.2021,мар '21,73.8,88.9
12.03.2021,мар '21,73.5,87.8
19.03.2021,мар '21,73.7,88.1
26.03.2021,мар '21,76.2,90.0
02.04.2021,апр '21,75.8,89.0
09.04.2021,апр '21,77.1,91.6
16.04.2021,апр '21,77.0,92.2
23.04.2021,апр '21,76.4,92.0
30.04.2021,апр '21,74.4,90.2
07.05.2021,май '21,74.6,89.7
14.05.2021,май '21,74.4,89.9
21.05.2021,май '21,73.6,89.8
28.05.2021,май '21,73.5,89.7
04.06.2021,июн '21,73.3,89.3
11.06.2021,июн '21,72.2,87.8
18.06.2021,июн '21,72.5,86.7
25.06.2021,июн '21,72.3,86.3
02.07.2021,июл '21,72.9,86.4
09.07.2021,июл '21,75.2,88.8
16.07.2021,июл '21,74.2,87.8
23.07.2021,июл '21,73.7,86.9
30.07.2021,июл '21,73.2,86.9
06.08.2021,авг '21,73.2,86.7
13.08.2021,авг '21,73.6,86.3
20.08.2021,авг '21,74.2,86.6
27.08.2021,авг '21,74.0,87.1
03.09.2021,сен '21,72.8,86.3
10.09.2021,сен '21,73.1,86.5
17.09.2021,сен '21,72.4,85.4
24.09.2021,сен '21,72.7,85.2
01.10.2021,окт '21,72.7,84.3
08.10.2021,окт '21,72.3,83.6
15.10.2021,окт '21,71.8,83.3
22.10.2021,окт '21,71.0,82.6
29.10.2021,окт '21,70.5,81.8
12.11.2021,ноя '21,71.2,81.7
19.11.2021,ноя '21,72.6,82.3
26.11.2021,ноя '21,74.6,83.7
03.12.2021,дек '21,74.1,83.8
10.12.2021,дек '21,73.6,83.3
17.12.2021,дек '21,73.6,83.2
24.12.2021,дек '21,73.4,83.1
31.12.2021,дек '21,74.3,84.1
14.01.2022,янв '22,74.6,85.5
21.01.2022,янв '22,76.4,86.8
28.01.2022,янв '22,78.9,88.5
04.02.2022,фев '22,76.7,86.6
11.02.2022,фев '22,74.7,85.4
18.02.2022,фев '22,75.8,86.1
25.02.2022,фев '22,86.9,97.8
04.03.2022,мар '22,111.8,124.0
11.03.2022,мар '22,120.4,133.0
18.03.2022,мар '22,104.8,115.9
25.03.2022,мар '22,96.0,105.5
01.04.2022,апр '22,83.4,92.5
08.04.2022,апр '22,76.3,83.3
15.04.2022,апр '22,81.3,88.0
22.04.2022,апр '22,75.0,81.2
29.04.2022,апр '22,72.3,75.3
06.05.2022,май '22,66.2,70.1
13.05.2022,май '22,65.8,68.8
20.05.2022,май '22,62.4,64.9
27.05.2022,май '22,62.0,64.4
03.06.2022,июн '22,61.6,64.9
10.06.2022,июн '22,58.4,62.1
17.06.2022,июн '22,56.9,59.0
24.06.2022,июн '22,53.4,56.0
01.07.2022,июл '22,52.5,54.6
08.07.2022,июл '22,63.1,64.1
15.07.2022,июл '22,58.3,58.3
22.07.2022,июл '22,56.5,57.1
29.07.2022,июл '22,60.2,61.2
05.08.2022,авг '22,60.3,61.1
12.08.2022,авг '22,60.6,62.5
19.08.2022,авг '22,60.0,60.9
26.08.2022,авг '22,59.8,59.6
02.09.2022,сен '22,60.2,60.3
09.09.2022,сен '22,60.8,60.7
16.09.2022,сен '22,59.7,59.6
23.09.2022,сен '22,59.8,58.9
30.09.2022,сен '22,57.4,55.4
07.10.2022,окт '22,60.3,58.2
14.10.2022,окт '22,63.5,62.6
21.10.2022,окт '22,61.5,60.4
28.10.2022,окт '22,61.4,61.6
04.11.2022,ноя '22,62.1,60.6
11.11.2022,ноя '22,61.2,61.0
18.11.2022,ноя '22,60.4,62.6
25.11.2022,ноя '22,60.4,62.8
02.12.2022,дек '22,61.1,63.8
09.12.2022,дек '22,62.6,65.7
16.12.2022,дек '22,64.3,68.4
23.12.2022,дек '22,72.1,76.6
30.12.2022,дек '22,72.0,76.1
